fecha UTC,hora UTC,latitud (º),longitud (º),profundidad (km),magnitud (M)
1995-12-24,06:58:00.00,-4.886,-80.988,33,4.4
1996-01-14,10:45:45.00,-5.8411,-80.1067,100,4.5
1996-02-11,04:06:44.00,-5.2783,-79.8307,10,4.5
1996-03-01,01:12:27.00,-5.3176,-81.015,26,4.9
1996-03-02,01:12:26.00,-5.3297,-81.0537,43,4.5
1996-03-17,12:37:39.00,-4.6998,-80.949,66,4.6
1996-04-01,01:50:49.00,-5.2033,-81.1431,52,4.5
1996-05-11,13:00:48.00,-4.4181,-80.8886,69,4.7
1996-06-02,00:45:13.00,-5.751,-81.359,19,4.9
1996-06-08,09:08:03.00,-4.6438,-80.9189,11,4.5
1996-06-21,01:40:04.00,-4.8817,-81.3234,27,4.7
1996-07-10,13:24:30.00,-4.5497,-80.7293,32,4.5
1996-08-04,12:03:50.00,-5.2833,-80.2106,70,5.3
1996-08-07,11:24:45.00,-5.5192,-80.6849,49,5.4
1996-08-14,03:10:11.00,-5.4329,-80.2754,66,4.5
1996-08-14,05:42:36.00,-5.5158,-80.1821,53,4.5
1996-08-16,12:57:37.00,-5.6753,-80.1214,61,5.1
1996-08-18,11:48:54.00,-4.6009,-80.1846,90,4.6
1996-08-29,20:48:07.00,-4.4421,-80.7173,75,5.5
1996-08-31,00:52:31.00,-5.8396,-80.6815,44,5.5
1996-09-17,03:24:39.00,-5.2406,-80.0751,53,4.7
1996-09-21,20:33:53.00,-4.9784,-80.8155,32,4.8
1996-09-25,02:46:15.00,-4.5022,-80.3239,56,4.6
1996-09-25,15:13:35.00,-5.1625,-80.8248,68,4.5
1996-10-02,05:58:55.00,-4.9957,-80.9078,37,4.5
1996-10-06,15:25:05.00,-5.6704,-81.5531,31,5.1
1996-12-06,22:50:26.00,-4.5651,-80.9642,20,4.7
1996-12-14,22:18:14.00,-5.0592,-80.0734,96,5.1
1996-12-19,17:50:52.00,-5.3374,-81.0997,13,4.5
1997-01-06,16:42:47.00,-4.9554,-80.2369,42,4.7
1997-01-10,11:47:48.00,-5.8416,-81.1858,31,5.1
1997-01-13,16:26:55.00,-4.748,-80.9286,28,4.5
1997-02-12,21:49:50.00,-4.9341,-80.3071,10,4.5
1997-02-12,21:51:50.00,-4.9341,-80.3071,10,4.5
1997-02-22,11:28:14.00,-4.4228,-80.5972,42,4.5
1997-03-06,10:24:13.00,-5.8286,-80.8912,34,4.8
1997-03-16,03:45:42.00,-5.3479,-80.0228,84,4.8
1997-03-19,06:50:27.00,-4.3588,-80.4793,57,4.5
1997-04-25,05:24:54.00,-5.7167,-80.1255,52,4.5
1997-04-30,13:50:45.00,-4.6135,-81.0251,11,4.5
1997-05-06,15:12:40.00,-4.7744,-80.8456,42,4.5
1997-05-10,16:32:20.00,-5.2331,-80.4376,49,4.6
1997-06-30,18:43:59.00,-4.3851,-81.0817,15,4.9
1997-07-18,03:34:17.00,-5.5674,-80.4443,53,4.5
1997-07-25,06:04:54.00,-5.335,-81.5541,27,4.5
1997-08-11,10:04:18.00,-5.2537,-80.285,51,4.5
1997-08-21,10:56:11.00,-4.7793,-80.5067,46,4.5
1997-08-26,14:26:56.00,-5.7487,-81.6283,22,5.2
1997-09-11,12:40:21.00,-4.8709,-80.7566,33,4.5
1997-09-11,18:29:25.00,-4.6467,-81.1621,24,4.5
1997-10-08,11:52:45.00,-5.0869,-80.8333,19,4.5
1998-03-28,19:59:13.00,-5.7993,-80.713,38,5.1
1998-04-05,06:30:58.00,-4.9153,-79.8986,80,4.5
1998-04-06,06:30:58.00,-4.9153,-79.8986,80,4.5
1998-05-07,04:07:12.00,-4.4517,-80.7555,32,4.6
1998-05-31,02:12:36.00,-4.7365,-80.9827,70,4.5
1998-07-03,16:43:00.00,-4.9339,-80.1581,26,5
1998-07-12,08:02:16.00,-4.9819,-80.1476,74,4.9
1998-07-19,11:09:30.00,-4.8993,-81.0602,35,4.5
1998-09-12,10:49:10.00,-5.4392,-79.8884,107,4.7
1998-09-20,23:09:18.00,-5.2139,-80.7217,48,4.5
1998-09-26,11:54:42.00,-5.7603,-80.2455,49,4.5
1998-11-02,02:50:01.00,-4.9931,-80.6215,58,5.1
1998-12-10,10:02:00.00,-4.3277,-80.3087,98,4.5
1998-12-14,14:44:13.00,-4.723,-80.8605,34,4.5
1998-12-16,23:37:04.00,-4.6579,-80.1049,132,4.5
1998-12-21,07:24:23.00,-5.4798,-80.5358,52,4.5
1998-12-23,10:27:37.00,-5.4893,-80.2843,55,4.5
1998-12-24,08:52:41.00,-4.3361,-80.3384,88,4.7
1998-12-27,03:40:27.00,-5.6038,-80.0097,68,4.8
1998-12-28,02:54:51.00,-5.0245,-81.0038,18,4.5
1998-12-30,00:34:23.00,-5.7835,-80.6616,45,4.5
1999-01-27,08:12:23.00,-5.4839,-81.194,15,4.9
1999-03-03,20:22:51.00,-4.8231,-80.9453,24,4.5
1999-03-25,17:02:13.00,-5.811,-80.6896,29,4.9
1999-04-12,08:27:14.00,-5.3599,-80.4566,71,4.5
1999-05-17,19:28:41.00,-4.8517,-80.8356,55,4.9
1999-05-20,00:50:56.00,-4.8047,-80.3132,35,4.5
1999-05-26,02:18:58.00,-4.5985,-80.4293,38,4.9
1999-05-31,06:40:07.00,-4.361,-80.6791,56,4.5
1999-06-27,00:31:05.00,-5.0128,-81.3813,31,5
1999-08-27,01:16:56.00,-5.0793,-80.9103,16,4.5
1999-11-06,16:45:59.00,-5.041,-80.8535,42,5.2
1999-11-27,15:29:56.00,-5.1405,-80.2665,76,4.5
2000-01-24,12:00:12.00,-5.3397,-79.8622,80,4.5
2000-02-06,07:12:42.00,-5.2287,-81.0062,38,5.2
2000-02-08,07:09:27.00,-5.43,-80.4392,38,5.1
2000-02-27,23:48:05.00,-5.4973,-80.0941,10,4.6
2000-03-12,22:26:28.00,-5.6633,-80.3404,51,4.6
2000-03-12,22:47:56.00,-5.2719,-79.9889,89,4.5
2000-03-19,12:33:35.00,-5.2336,-80.884,41,4.5
2000-03-19,15:12:43.00,-4.5125,-79.8358,68,4.5
2000-03-27,09:54:22.00,-5.6383,-79.8709,85,5.1
2000-04-25,08:38:43.00,-4.9003,-80.9457,30,4.8
2000-05-01,06:46:53.00,-4.7953,-81.0442,29,4.5
2000-05-22,19:56:22.00,-5.0968,-81.2359,15,4.6
2000-05-23,01:19:08.00,-4.5524,-81.0522,6,4.6
2000-05-29,22:49:08.00,-5.652,-81.6645,11,4.5
2000-08-19,17:00:37.00,-4.4694,-80.6878,40,4.8
2000-08-24,05:01:14.00,-4.5252,-81.6632,17,4.7
2000-10-03,13:42:16.00,-5.6038,-81.1745,16,4.5
2000-10-22,08:31:53.00,-4.8838,-81.456,38,4.5
2000-10-30,01:26:41.00,-4.5321,-79.8846,24,4.5
2000-11-09,13:38:02.00,-4.8296,-80.8465,37,4.5
2000-12-25,04:07:58.00,-4.444,-80.276,64,4.7
2001-01-07,09:40:04.00,-5.3155,-80.8816,22,4.5
2001-04-20,19:29:08.00,-5.0086,-80.2929,41,4.9
2001-05-02,06:27:53.00,-5.4377,-81.7079,29,4.5
2001-05-24,21:46:09.00,-5.1645,-81.0979,39,4.5
2001-05-27,17:21:38.00,-4.3679,-79.8258,121,4.5
2001-06-24,00:23:56.00,-4.567,-81.448,35,4.5
