fecha UTC,hora UTC,latitud (º),longitud (º),profundidad (km),magnitud (M)
2012-12-22,18:18:38.00,-4.3435,-80.539,38,4.5
2013-01-15,22:34:50.00,-5.7443,-80.6656,35,5.2
2013-01-20,23:03:11.00,-5.1332,-81.108,25,4.5
2013-02-17,08:47:01.00,-4.8188,-80.2515,57,4.5
2013-02-24,07:27:04.00,-4.4239,-80.9026,31,4.5
2013-03-27,00:06:21.00,-4.8013,-80.1086,93,4.5
2013-04-12,01:36:06.00,-4.8523,-80.8626,29,4.5
2013-04-20,00:22:01.00,-5.4064,-81.688,40,4.7
2013-06-13,23:14:34.00,-4.5413,-79.997,39,4.6
2013-07-03,13:26:55.00,-4.9999,-80.6949,33,4.5
2013-07-09,05:54:15.00,-4.5201,-80.6044,24,4.6
2013-07-19,06:46:21.00,-4.9272,-81.4255,43,4.5
2013-07-22,07:57:11.00,-4.6554,-80.7948,44,4.5
2013-07-28,16:57:32.00,-5.8743,-80.8775,31,5
2013-07-29,03:47:57.00,-5.5999,-80.9255,38,4.6
2013-07-31,10:28:07.00,-5.1184,-80.7434,44,5.1
2013-08-12,09:49:32.00,-5.2373,-81.6665,13,6.2
2013-08-25,12:22:30.00,-5.5141,-81.0134,33,4.5
2013-09-07,04:22:40.00,-5.5201,-81.5664,14,4.8
2013-09-15,09:58:56.00,-4.6754,-80.7129,51,4.9
2013-09-20,23:00:05.00,-5.6954,-80.6091,41,4.5
2013-10-01,18:08:05.00,-5.6668,-81.6167,26,4.5
2013-10-09,04:41:31.00,-5.5817,-81.4445,44,4.5
2013-10-09,10:32:19.00,-4.3351,-80.4888,29,4.5
2013-10-19,04:52:47.00,-4.6897,-80.2524,63,4.6
2013-10-19,11:43:52.00,-4.8944,-80.8456,32,4.6
2013-10-22,01:53:27.00,-4.7743,-80.47,37,4.5
2013-10-27,18:46:25.00,-4.382,-81.3871,32,4.5
2013-11-04,10:36:36.00,-4.8536,-80.8234,29,4.5
2013-11-11,17:25:08.00,-4.5954,-80.8345,64,4.5
2013-11-14,08:17:10.00,-5.3245,-80.3543,51,4.6
2013-11-14,15:02:47.00,-5.7926,-80.2229,60,5.5
2013-11-22,02:35:43.00,-4.7827,-80.2504,73,4.5
2013-12-08,06:42:17.00,-4.6906,-81.0801,31,4.5
2013-12-21,04:36:32.00,-5.8372,-80.964,15,4.5
2013-12-26,09:49:41.00,-5.5349,-81.7311,41,4.5
2013-12-26,15:53:09.00,-4.4731,-80.0995,90,4.5
2014-01-06,20:05:42.00,-4.8901,-80.8541,38,5.2
2014-01-08,15:39:18.00,-5.0569,-80.0342,89,5.3
2014-01-13,20:45:29.00,-5.3984,-80.7194,38,4.9
2014-01-15,17:54:43.00,-5.3644,-80.2813,55,4.7
2014-01-27,02:02:27.00,-4.4597,-80.3761,55,4.7
2014-01-28,15:19:26.00,-4.6577,-81.738,29,4.8
2014-02-20,20:36:48.00,-4.8859,-80.8553,33,4.6
2014-02-25,02:42:36.00,-4.4749,-80.7204,39,4.5
2014-03-15,23:51:31.00,-5.6595,-81.127,39,6.4
2014-03-15,23:55:22.00,-5.6528,-81.0661,35,4.5
2014-03-16,00:22:20.00,-5.5723,-80.9967,38,4.8
2014-03-16,14:56:17.00,-5.6982,-80.9769,39,4.7
2014-03-16,15:25:13.00,-5.6666,-81.1222,41,5
2014-03-16,15:34:04.00,-5.6778,-81.0512,27,4.6
2014-03-17,08:09:12.00,-5.1416,-80.83,57,4.7
2014-03-17,08:53:52.00,-5.6506,-81.0388,28,4.5
2014-03-22,00:38:46.00,-5.4135,-80.811,36,5.3
2014-03-25,07:21:30.00,-5.5769,-81.0062,36,4.8
2014-03-30,00:04:12.00,-5.8331,-81.0227,32,4.5
2014-04-02,15:20:57.00,-4.3787,-80.2957,55,4.5
2014-04-10,08:56:18.00,-5.6178,-81.0549,21,4.8
2014-04-17,08:03:55.00,-5.5973,-80.9096,36,4.5
2014-05-11,13:37:26.00,-5.1527,-80.2806,61,4.5
2014-05-12,10:00:25.00,-5.4506,-80.6245,45,4.5
2014-05-15,01:48:55.00,-5.6045,-81.0213,47,5.6
2014-05-15,04:58:28.00,-4.7256,-81.014,33,4.6
2014-05-25,15:52:48.00,-5.6101,-81.0166,17,4.9
2014-05-26,11:38:37.00,-5.8183,-81.098,29,4.6
2014-05-26,11:45:00.00,-5.8514,-81.1923,28,4.8
2014-05-28,01:11:48.00,-5.5385,-81.0005,25,4.5
2014-05-28,05:47:59.00,-5.3946,-80.9769,18,4.8
2014-05-29,20:24:57.00,-5.6277,-80.8929,22,4.6
2014-06-03,19:44:28.00,-4.9406,-80.8408,31,4.6
2014-06-08,00:54:49.00,-4.7665,-80.9956,31,4.7
2014-06-13,00:48:38.00,-5.5223,-81.0483,51,4.8
2014-06-13,01:14:35.00,-5.1929,-80.9131,29,5.2
2014-06-23,06:35:22.00,-5.8337,-81.0103,50,4.6
2014-07-23,09:57:45.00,-5.6528,-80.9655,30,5
2014-08-01,15:45:15.00,-4.8856,-80.8827,37,4.5
2014-08-12,18:37:00.00,-5.2103,-81.1986,25,4.5
2014-08-24,11:16:01.00,-4.4222,-80.7914,29,4.9
2014-10-09,09:10:42.00,-4.5222,-80.2098,35,4.5
2014-11-09,00:56:26.00,-4.9634,-80.8535,30,4.5
2015-01-03,03:55:40.00,-4.3977,-80.453,74,4.5
2015-01-24,03:20:26.00,-5.6767,-81.6865,23,4.6
2015-02-18,17:27:32.00,-5.8706,-81.4067,15,4.5
2015-02-18,20:13:23.00,-5.8128,-81.6174,27,4.5
2015-02-21,06:46:49.00,-4.4401,-80.3036,91,4.9
2015-03-03,15:24:01.00,-5.0264,-81.2259,24,4.7
2015-03-10,20:46:45.00,-4.4207,-81.7244,25,4.6
2015-03-11,02:38:46.00,-5.0031,-81.1502,23,4.7
2015-04-23,00:22:04.00,-4.8904,-80.8797,37,4.9
2015-05-26,14:30:26.00,-4.4418,-80.2806,46,4.5
2015-06-13,07:18:08.00,-5.1689,-80.845,50,4.6
2015-08-23,14:22:55.00,-5.0301,-81.2948,29,4.5
2015-09-07,00:51:22.00,-5.8819,-80.5562,33,4.5
2015-10-23,12:27:12.00,-5.527,-80.9986,44,4.6
2015-11-21,12:15:39.00,-4.375,-80.7727,12,4.8
2015-11-23,05:33:11.00,-5.06,-80.7938,33,4.7
2015-12-17,07:56:52.00,-5.8373,-80.9759,0,4.7
2015-12-31,10:59:45.00,-5.0399,-80.2095,48,4.8
2016-01-13,04:02:20.00,-4.8593,-80.9689,40,4.6
2016-01-13,13:45:30.00,-5.3839,-80.2549,79,4.8
2016-01-19,03:28:23.00,-5.5877,-81.101,37,4.7
2016-02-26,13:09:52.00,-4.9176,-80.9844,47,4.9
2016-03-21,03:18:20.00,-4.6288,-80.2323,45,4.6
2016-04-09,22:28:56.00,-5.2358,-80.0928,57,4.8
2016-04-21,06:47:37.00,-4.3673,-81.5865,27,4.5
2016-05-27,13:27:29.00,-5.2492,-81.1225,34,4.6
2016-06-10,12:53:02.00,-4.8727,-80.8557,32,4.6
2016-07-02,06:34:56.00,-4.9308,-81.0222,44,5.1
2016-08-29,16:54:10.00,-5.1434,-80.5624,72,4.7
2016-09-25,05:09:02.00,-5.5549,-81.2185,41,4.7
2016-10-25,15:36:46.00,-5.0516,-81.3317,29,5
2016-11-22,15:02:51.00,-5.7261,-80.399,52,4.7
2017-01-11,00:29:20.00,-5.8153,-81.0354,23,4.5
2017-03-21,21:09:06.00,-4.8979,-80.9285,34,4.8
2017-04-18,07:33:47.00,-4.6197,-80.1508,42,4.6
2017-05-21,10:14:16.00,-4.7974,-80.1216,90,5.2
2017-06-04,18:17:31.00,-4.9638,-80.1071,74,4.5
2017-06-25,03:03:40.00,-4.5327,-80.1861,92,5
2017-06-25,07:46:05.00,-4.9402,-80.9138,41,4.9
2017-06-26,23:48:05.00,-5.5995,-81.0163,31,4.5
2017-08-11,20:17:52.00,-5.4819,-81.1696,39,5.1
2017-08-25,17:19:39.00,-5.0917,-80.0369,86,4.5
2017-08-27,09:11:33.00,-5.5629,-81.002,37,4.6
2017-10-19,03:21:46.00,-5.4798,-80.2975,58,4.5
2017-12-22,03:56:55.00,-5.647,-81.6071,46,5
2018-01-24,01:31:21.00,-4.858,-80.8424,26,4.5
2018-03-04,06:16:17.00,-5.8242,-81.1257,23,5.1
2018-03-04,13:52:54.00,-5.8284,-81.1767,33,4.6
2018-03-10,20:55:01.00,-5.0026,-81.2475,28,4.7
2018-03-23,13:22:45.00,-5.456,-80.2471,54,4.5
2018-05-14,05:48:34.00,-4.3407,-80.5374,48,4.6
2018-06-10,16:01:07.00,-4.7066,-80.2654,66,4.5
2018-08-03,15:34:56.00,-5.8049,-80.996,35,4.6
2018-09-08,14:38:56.00,-4.6323,-81.5914,12,5.4
2018-09-15,06:22:18.00,-5.2879,-79.9873,87,4.5
2018-10-10,02:47:50.00,-5.5394,-81.2041,43,4.8
2018-11-13,03:43:21.00,-5.455,-81.0635,36,4.5
2018-12-13,20:30:26.00,-5.1609,-81.1183,41,4.5
2019-01-06,17:40:05.89,-4.8327,-80.5772,55,4
2019-03-13,11:16:58.61,-5.4742,-80.1805,55,4.3
2019-04-18,04:36:11.45,-5.4293,-80.4143,47,4
2019-04-26,19:24:21.38,-5.3249,-80.9963,25,4.4
2019-05-11,20:03:43.58,-5.1455,-80.8605,38,4
2019-06-01,14:27:29.92,-4.3191,-80.6421,51,4
2019-07-06,12:25:06.92,-4.8596,-80.8521,32,4.2
2019-10-02,21:42:56.84,-5.7391,-80.9308,34,4.5
2019-10-07,15:08:05.84,-4.9629,-81.1736,28,4.2
2019-12-12,06:54:15.45,-5.4453,-79.8719,79,4
2020-01-08,11:14:36,-5.0545,-80.9879,31,3.5
2020-02-05,01:51:42,-5.7951,-80.9335,44,5.2
2020-03-09,09:35:40,-4.7848,-80.2673,69,4.8
2020-04-02,22:22:53,-5.2813,-80.9957,42,4
2020-04-23,06:52:28,-5.2777,-80.0139,86,4
2020-05-05,07:41:39,-5.0429,-79.9116,89,4.1
2020-05-12,09:05:35,-5.268,-80.1775,64,4
2020-05-25,08:46:49,-4.6579,-80.3592,35,3.9
2020-09-02,02:08:33,-4.861,-80.8453,28,4.1
2020-09-16,14:14:26,-5.6465,-80.7706,38,3.8
2020-11-09,04:00:30,-5.0588,-80.7932,38,4
2020-11-11,11:59:13,-4.3274,-80.7271,38,4
2020-11-28,08:03:16,-5.1133,-81.0119,39,3.9
2020-12-30,08:13:01,-5.1335,-80.7949,44,4.2
2021-03-03,01:30:56,-5.6215,-80.962,39,4.9
2021-03-05,13:42:13,-4.7581,-81.0166,24,4.1
2021-04-06,19:36:18,-5.8469,-81.1097,37,4.2
2021-05-07,21:46:27,-4.9225,-80.7649,41,4.5
2021-05-10,09:22:20,-4.7731,-81.0145,36,4
2021-05-16,19:47:40,-4.6571,-80.2023,66,4
2021-07-17,06:44:35,-5.119,-80.8154,51,4.4
2021-07-30,17:10:18,-4.8503,-80.841,32,6.1
2021-07-30,19:33:28,-4.9091,-80.7847,29,3.8
2021-07-30,20:14:08,-4.922,-80.7819,34,4.4
2021-07-31,04:33:01,-4.9103,-80.8278,35,4.1
2021-07-31,09:07:38,-4.9436,-80.7562,32,3.8
2021-07-31,09:31:09,-4.9251,-80.7812,33,4
2021-07-31,13:00:46,-4.9483,-80.7676,34,3.8
2021-07-31,20:54:48,-4.8617,-80.796,32,3.8
2021-07-31,21:04:47,-4.8773,-80.8027,28,3.9
2021-08-01,00:06:01,-4.9389,-80.7846,31,3.7
2021-08-01,06:42:00,-4.9799,-80.7668,33,4
2021-08-01,07:07:12,-4.9382,-80.8061,37,4.3
2021-08-01,10:42:48,-4.9286,-80.8125,35,3.9
2021-08-01,06:22:23,-4.9194,-80.8116,36,3.8
2021-08-01,11:51:10,-4.9121,-80.7292,29,3.8
2021-08-02,03:34:22,-4.9089,-80.8054,35,3.6
2021-08-03,06:31:21,-4.9123,-80.8021,35,3.8
2021-08-03,07:35:14,-4.9476,-80.7868,33,4.2
2021-08-03,11:03:24,-4.9674,-80.7738,30,3.7
2021-08-04,03:30:03,-4.9007,-80.7893,36,3.8
2021-08-05,22:36:08,-4.9094,-80.8447,38,4.1
2021-08-06,09:57:54,-4.9128,-80.7873,35,3.7
2021-08-09,09:52:30,-5.0204,-80.7229,32,3.6
2021-08-10,11:24:37,-4.6685,-80.3423,64,4.1
2021-08-11,07:21:41,-4.8736,-80.8127,35,4.3
2021-08-11,17:09:45,-4.8981,-80.7982,41,4.3
2021-08-11,18:24:37,-4.9481,-80.7677,32,3.7
2021-08-11,19:44:02,-4.8999,-80.8004,37,3.5
2021-08-11,21:49:04,-4.9058,-80.81,29,3.5
2021-08-15,10:14:05,-4.5689,-80.0629,35,3.9
2021-08-16,06:50:00,-4.9327,-80.7933,35,4.8
2021-08-17,18:59:35,-4.9139,-80.7683,34,4.4
2021-08-20,18:33:34,-4.885,-80.7629,31,4
2021-08-25,02:45:10,-4.8786,-80.8107,30,4.1
2021-09-01,21:21:53,-4.9125,-80.8104,35,4.2
2021-09-03,20:19:46,-4.8415,-80.8419,28,3.8
2021-09-05,08:59:13,-4.888,-80.7913,31,4
2021-09-09,00:11:26,-4.9444,-80.778,32,3.6
2021-09-16,10:14:00,-4.8544,-80.857,29,4.2
2021-09-17,22:26:36,-4.8973,-80.7521,31,4.2
2021-09-28,23:15:07,-4.5763,-80.8257,18,3.6
2021-10-06,11:16:54,-4.9458,-80.8028,40,3.8
2021-10-14,19:29:06,-4.9859,-80.7687,32,3.6
2021-10-27,02:24:24,-4.9239,-80.7336,32,3.8
2021-11-04,02:52:51,-4.8098,-80.8225,18,3.8
2021-11-04,03:28:05,-4.8812,-80.856,31,4.1
2021-11-10,09:28:06,-4.9436,-80.8156,38,3.9
2021-11-18,09:41:23,-4.8751,-80.6242,43,3.8
2021-12-20,12:08:20,-4.8779,-80.7718,24,3.8
2021-12-22,08:14:18,-5.8621,-81.2652,27,4.2
2021-12-31,01:30:50,-5.4455,-80.9701,33,3.9
2022-01-01,17:04:52,-4.939,-81.1582,24,4.2
2022-01-01,15:26:36,-4.8673,-80.7908,25,3.8
2022-01-03,04:20:19,-5.8466,-80.8432,31,4
2022-01-04,03:09:49,-4.9246,-81.0421,22,4.1
2022-01-05,15:26:04,-4.7025,-80.3146,56,4.1
2022-01-20,10:45:57,-5.1217,-80.1891,84,4.2
2022-01-29,20:04:53,-5.5676,-80.921,32,4.1
2022-02-20,03:09:44,-5.875,-81.0722,29,4
2022-03-02,11:11:15,-5.8628,-81.4265,28,4.2
2022-06-26,09:27:52,-4.9029,-80.7944,36,4.3
2022-08-13,22:42:08,-5.3028,-79.9073,88,4.4
2022-09-09,02:13:17,-5.13,-80.9,36,4.3
2022-10-05,08:26:17,-4.92,-80.8,25,6.1
2022-10-05,08:59:02,-4.89,-80.81,30,4
2022-10-05,10:43:28,-4.92,-80.77,30,4
2022-10-05,16:04:01,-4.89,-80.82,35,4
2022-10-08,21:06:53,-4.89,-80.85,38,4.4
2022-10-26,02:06:09,-4.89,-80.78,42,4.7
2022-10-30,02:07:16,-4.83,-80.84,25,4.1
2022-11-03,01:14:21,-5.28,-81.02,19,4.2
2022-11-14,00:54:02,-4.86,-80.76,35,4
2022-11-19,02:24:02,-5.51,-80.78,45,4.1
2022-12-02,08:19:25,-4.63,-80.83,38,4
2022-12-11,21:00:04,-4.91,-80.78,46,4.7
2022-12-12,06:55:00,-4.5,-80.15,77,5
2023-01-15,20:10:05,-4.54,-80.14,78,4.3
2023-01-17,07:56:29,-4.88,-80.84,28,4
2023-02-01,06:21:18,-5.28,-80.76,48,4.4
2023-05-13,12:13:53,-5.81,-81.28,30,4
2023-07-10,23:46:32,-4.9,-80.83,38,4.7
2023-08-15,20:38:10,-4.65,-80.25,65,4
2023-08-22,21:13:20,-5.55,-80.77,43,4.8
2023-09-18,22:33:48,-4.93,-80.83,29,4
2023-11-09,19:12:18,-4.73,-80.29,53,4.1
2023-12-16,09:32:47,-5.33,-80.8,43,4
2023-12-19,14:54:48,-4.89,-80.23,44,4.4
2024-01-04,13:46:24,-5.83,-81.03,32,4.8
2024-01-08,04:19:29,-5.13,-79.98,86,4
2024-01-09,09:15:20,-5.54,-80.74,50,4
2024-03-17,00:45:18,-5.61,-80.9,42,4
2024-04-21,14:18:10,-5.18,-81,52,4.1
2024-08-28,16:43:06,-4.47,-80.34,59,4
2024-09-05,14:58:27,-4.32,-80.4,50,4.2
2024-10-02,01:40:28,-4.89,-80.88,36,4
2024-11-02,04:53:56,-4.88,-80.9,35,4
2024-11-20,01:53:45,-4.39,-80.85,45,4
2024-11-20,19:48:27,-4.98,-81.21,27,4.5
2024-11-25,19:30:08,-5.51,-80.61,48,4
